"RAZON_SOCIAL";"REGION_OTROS";"REGION_CF";"REGION_BSAS";"REGION_DESCONOCIDO";"REGION_CBA";"PROD_DATOS_RPV";"PROD_INTER_DEDICADO";"PROD_DATOS_ENLACE";"PROD_DATOS_LAN_TO_LAN";"PROD_SD_WAN";"MERC_OTROS";"MERC_CORPORATIVO";"MERC_EMPRESAS";"MERC_GRANDES_CLIENTES";"MERC_PYMES";"CANT_PRODUCTOS";"CANT_ENLACES";"FACTURACION_ARS";"DURACION_CLIENTE_DIAS";"INCIDENTES";"TMR"
" AVANZ TRUCK SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"268800";"574";"1";"1,56"
" COOLMEALS S.A.S.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"336000";"670";"4";"1,45"
" GRUPO QUEST S.A.";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"576000";"780";"8";"6,38"
"3NTROPY TECHNOLOGIES S.R.L.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"252000";"166";"0";"0"
"48M2 S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"882000";"1518";"3";"257,09"
"A B C SA";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"0";"1";"0";"0";"0";"3";"4";"636600";"362";"3";"2,28"
"A CIV DE ESTUD SUPERIORES ACES";"1";"0";"0";"0";"0";"17";"14";"1";"1";"0";"0";"1";"0";"0";"0";"4";"33";"18506280";"1508";"744";"155,8"
"A EVANGELISTA S.A";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"4611";"6";"96,18"
"A W FABER CASTELL ARGENTINA S A";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"540000";"3178";"28";"18,43"
"A&A COMUNICACIONES SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"3360000";"150";"2";"10,11"
"A.D.P. CONSULTORES S.R.L.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"5449";"16";"27,53"
"A.P.D.E.S.";"0";"0";"1";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0";"0";"1";"6";"4591800";"1012";"20";"25,86"
"ABAC S.R.L.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"268800";"1432";"1";"20,97"
"ABACOS S R L";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"387600";"1145";"6";"117,66"
"ABB S.A.U.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"378000";"1883";"7";"54,29"
"ABBOTT LABORATORIES ARGENTINA SA";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"2";"3";"3242400";"2848";"70";"68,1"
"ABBVIE SA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"98";"1";"1,31"
"ABC SRL";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"307200";"1222";"5";"25,85"
"ABERTURAS HERFASA SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"319200";"993";"8";"17,56"
"ABONOS DEL PARAGUAY SA";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"240000";"112";"1";"48,21"
"ABRANTES SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"319200";"746";"3";"7,98"
"ABRASIVOS ARGENTINOS SAIC";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"2572428";"4309";"53";"25,26"
"ABTECH E.A.S.";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"504000";"150";"6";"178,37"
"ACC GROUP S.A.";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1590000";"2112";"148";"49"
"ACC SERVICES SRL";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"480000";"4136";"46";"81,1"
"ACCENTURE SOCIEDAD DE RESPONSABILIDAD LI";"0";"1";"0";"0";"0";"4";"2";"0";"0";"0";"0";"1";"0";"0";"0";"2";"6";"4356000";"151";"288";"74,6"
"ACCICOM SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"352800";"3811";"2";"13,18"
"ACCION POINT SA";"0";"1";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"4";"512400";"1041";"12";"45,14"
"ACCUSYS TECHNOLOGY SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"882000";"56";"0";"0"
"ACEITERA GENERAL DEHEZA SA";"1";"0";"0";"0";"0";"0";"21";"0";"0";"22";"0";"1";"0";"0";"0";"2";"43";"16376700";"795";"108";"121,86"
"ACERBRAG S.A";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"2856000";"2278";"22";"108,85"
"ACERCO S A";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"588000";"587";"8";"9,95"
"ACEROS COCO SA";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"277200";"2268";"0";"0"
"ACEROS CUFER S.R.L.";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"842400";"3889";"84";"84,26"
"ACINDAR I.A.A.S.A.";"0";"1";"0";"0";"0";"45";"9";"0";"0";"0";"0";"1";"0";"0";"0";"2";"54";"36648744";"1403";"3740";"134,18"
"ACINDAR PYMES SGR";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"622800";"1587";"0";"0"
"ACONRA CONSTRUCCIONES SOCIEDADANONIMA";"0";"1";"0";"0";"0";"2";"6";"0";"0";"0";"0";"0";"0";"1";"0";"2";"8";"2233200";"1848";"164";"43,82"
"ACROPOLIS CABLES S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1197600";"1614";"11";"21,35"
"ACSUR SOCIEDAD ANONIMA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"912000";"2797";"4";"7,49"
"ACUDIR SA";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1380000";"934";"114";"89,32"
"ADEA ADMINISTRADORA DE ARCHIVO";"0";"1";"0";"0";"0";"1";"5";"0";"2";"0";"0";"0";"0";"1";"0";"3";"8";"4206720";"2068";"171";"85,11"
"ADECCO ARGENTINA SA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1014000";"1589";"29";"88,88"
"ADM AGRO S R L";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"1";"0";"1";"6";"2969280";"166";"190";"79,44"
"ADMIN. JUSTICIA PODER JUD. PVCIA BAIRES";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"1";"3";"3080";"5968";"76";"87,28"
"ADMINISTRACION ARAUJO Y LABANC";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1510";"16";"28,54"
"ADMINISTRACION NACIONAL DE LABORATORIOSE";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"313110";"220";"0";"0"
"ADMINISTRACION NACIONAL DEAVIACION CIVIL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"8993,17";"4634";"14";"946,36"
"ADMINITRACION DE INFRAESTRUCTURAS FERROV";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"206550";"2408";"74";"31,52"
"ADMIRA SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"141120";"553";"2";"37,19"
"ADT SECURITY SERVICES S.A.";"0";"0";"1";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0";"0";"0";"3";"4";"1362000";"1504";"87";"238,98"
"ADV TECHNOLOGY SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"3961";"62";"133,07"
"ADVANTA SEMILLAS SAIC";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"630000";"2728";"106";"157,66"
"AEGIS ARGENTINA S.A.";"0";"1";"0";"0";"0";"5";"4";"1";"3";"0";"0";"1";"0";"0";"0";"4";"13";"8472000";"1595";"696";"286,84"
"AEQUITAS TRADE SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"2";"496800";"1669";"10";"19,96"
"AFFIDARE S. R. L.";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"420000";"202";"2";"0,44"
"AG DE ADM DE BIENES DEL ESTADO";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"216670";"3049";"7";"82,68"
"AGCO ARGENTINA S.A.";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"2904000";"1412";"33";"33,36"
"AGENCIA CORDOBA CULTURA";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1965";"2";"61,25"
